
_r	cl	SDSS9	SDSS-ID	RA_ICRS	DE_ICRS	ObsDate	upmag	e_upmag	uPmag	e_uPmag	gpmag	e_gpmag	gPmag	e_gPmag	rpmag	e_rpmag	rPmag	e_rPmag	rPrad	ipmag	e_ipmag	iPmag	e_iPmag	zpmag	e_zpmag	zPmag	e_zPmag
29.9971	3	J143621.69+033921.2	2190-301-2-0248-0508 	219.090404	+03.655892	2001.2140	24.548	 0.960	18.487	 0.317	23.235	 0.207	29.822	 0.815	22.106	 0.111	19.156	 0.256	  68.30	20.932	 0.060	28.773	 1.243	20.082	 0.185	28.873	 0.248
29.9187	6	J143622.08+034136.1	2190-301-2-0248-0513 	219.092027	+03.693368	2001.2140	22.981	 0.366	23.172	 1.077	21.983	 0.075	21.981	 0.141	21.527	 0.067	21.617	 0.154	   1.38	21.354	 0.081	21.694	 0.272	21.741	 0.376	22.904	 1.319
29.8937	3	J143622.15+033901.4	2190-301-2-0248-0109 	219.092322	+03.650411	2001.2140	23.564	 0.908	20.256	 1.288	21.775	 0.792	19.168	 2.028	19.893	 0.156	17.314	 0.448	  18.83	19.205	 0.098	16.780	 0.325	18.763	 0.088	17.254	 0.685
29.8675	3	J143622.20+033926.2	2190-301-2-0248-1002 	219.092530	+03.657303	2001.2140	24.774	 0.953	22.674	 0.597	24.532	 0.524	25.341	 1.224	22.821	 0.202	23.466	 0.800	   1.36	22.040	 0.149	21.418	 0.268	21.573	 0.335	21.251	 0.578
29.9881	6	J143622.24+034306.9	2190-301-2-0248-0510 	219.092668	+03.718606	2001.2140	23.340	 0.547	23.919	 1.511	21.357	 0.047	21.306	 0.348	20.841	 0.040	20.830	 0.327	   1.31	20.606	 0.045	20.651	 0.255	20.395	 0.125	20.952	 0.424
29.9073	3	J143622.24+034207.8	2190-301-2-0248-0514 	219.092701	+03.702182	2001.2140	23.768	 0.682	21.772	 0.591	22.179	 0.087	21.581	 0.200	21.979	 0.097	20.937	 0.200	   2.85	21.301	 0.078	21.381	 0.523	21.275	 0.243	21.163	 1.100
29.8490	6	J143622.26+033934.2	2190-301-2-0248-0528 	219.092785	+03.659501	2001.2140	23.895	 0.781	23.154	 0.639	23.065	 0.183	23.229	 0.304	21.910	 0.093	22.298	 0.203	   0.98	21.611	 0.103	21.769	 0.189	21.260	 0.262	21.686	 0.573
29.8530	6	J143622.28+034112.0	2190-301-2-0248-0521 	219.092861	+03.686674	2001.2140	25.678	 0.809	23.923	 1.468	22.459	 0.110	22.368	 0.193	21.175	 0.051	21.161	 0.110	   1.34	19.752	 0.026	19.768	 0.055	19.093	 0.044	19.225	 0.103
29.8246	3	J143622.44+033859.3	2190-301-2-0248-0108 	219.093502	+03.649828	2001.2140	19.481	 0.029	17.984	 0.048	17.983	 0.020	16.536	 0.008	17.445	 0.018	15.952	 0.008	   7.50	17.153	 0.017	15.677	 0.010	16.905	 0.018	15.558	 0.022
29.7890	3	J143622.49+034045.3	2190-301-2-0248-0527 	219.093744	+03.679263	2001.2140	22.371	 0.246	21.369	 0.286	22.783	 0.144	22.298	 0.322	21.837	 0.087	21.520	 0.190	   1.85	21.577	 0.099	21.075	 0.189	21.440	 0.302	22.107	 1.858
