ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,z,plate,fiberID,mjd
184.46849,-0.36208395,17.46003,15.82395,15.06769,14.68268,14.35043,0.04032281,287,32,52023
183.97349,0.081615838,18.58362,17.6445,17.44572,17.24725,17.19996,0.04050813,288,400,52000
198.07127,-0.29495414,18.31561,17.34599,16.97116,16.73808,16.5818,0.04061591,295,227,51585
198.03644,-0.23905374,17.8742,16.51754,15.99412,15.73059,15.57275,0.04043624,295,228,51585
198.03644,-0.23905374,17.8742,16.51754,15.99412,15.73059,15.57275,0.0404517,295,228,51985
198.07127,-0.29495414,18.31561,17.34599,16.97116,16.73808,16.5818,0.04062444,295,237,51985
225.4385,0.0084468377,17.22139,15.2297,14.31682,13.88832,13.56455,0.04098697,310,201,51616
225.45457,0.056503837,18.00854,16.89662,16.47227,16.29257,16.1633,0.04067294,310,216,51616
225.4385,0.0084468377,17.22139,15.2297,14.31682,13.88832,13.56455,0.04093848,310,227,51990
225.45457,0.056503837,18.00854,16.89662,16.47227,16.29257,16.1633,0.04065491,310,228,51990
225.24073,-0.41184618,19.20587,17.98364,17.54811,17.30061,17.14634,0.04065495,310,256,51616
225.25076,-0.20832855,17.43112,15.87932,15.17366,14.78992,14.46382,0.04077037,310,257,51616
225.24073,-0.41184618,19.20587,17.98364,17.54811,17.30061,17.14634,0.04064145,310,270,51990
225.25076,-0.20832855,17.43112,15.87932,15.17366,14.78992,14.46382,0.04078309,310,271,51990
228.42436,-0.77938719,18.85623,17.55842,16.95811,16.60837,16.3429,0.04026579,311,18,51665
239.02338,-0.34999582,18.14996,16.31698,15.50278,15.11032,14.7935,0.04098138,343,189,51692
150.66042,1.4891177,18.94899,17.19278,16.40314,16.02041,15.75793,0.04071957,501,238,52235
158.66594,2.963257,19.69518,18.02396,17.29315,16.92451,16.62649,0.04084699,505,418,52317
162.2,2.1778653,17.45668,16.31837,15.88992,15.6552,15.58376,0.04031022,506,636,52022
162.69174,1.701823,18.04866,16.49627,15.80377,15.43549,15.13191,0.04017963,507,196,52353
161.97684,3.1144758,18.20994,16.74394,15.99493,15.59527,15.304,0.04070802,507,336,52353
162.88022,3.0259479,18.02622,16.84288,16.33032,16.03125,15.8456,0.04083959,507,452,52353
164.96997,1.3150183,18.88424,17.20887,16.44997,16.09902,15.86695,0.04016602,508,129,52366
166.07652,2.3134361,17.63659,16.0493,15.21845,14.7405,14.32587,0.04051564,508,158,52366
164.73472,1.4305529,19.06277,17.83702,17.11,16.79481,16.58511,0.04016741,508,202,52366
164.91941,1.4534411,17.33536,16.07697,15.52607,15.22505,15.00035,0.04063099,508,205,52366
164.84647,1.4600845,19.01333,17.2084,16.42648,16.07534,15.78612,0.04027896,508,210,52366
165.00788,1.7761972,16.85323,14.90678,14.03723,13.61361,13.31027,0.04024962,508,225,52366
164.7583,1.8021811,19.51099,17.88128,17.18361,16.85558,16.61627,0.04088306,508,228,52366
164.6111,1.3829248,16.84773,14.90695,14.05491,13.66313,13.33829,0.04084192,508,242,52366
164.65351,1.4102771,18.21322,16.39328,15.56589,15.1854,14.89063,0.04060175,508,253,52366
165.64119,2.6064984,16.45082,15.29888,14.85275,14.59752,14.46913,0.04003941,508,483,52366
166.12743,2.6475589,19.12135,17.73655,17.13604,16.80122,16.54428,0.04046972,508,546,52366
167.53329,3.4443063,17.25178,15.7607,15.11345,14.74471,14.43691,0.04067701,509,570,52374
168.03373,2.7691856,17.45918,16.41376,16.01605,15.76402,15.59137,0.04014013,509,582,52374
171.77538,3.499806,17.98048,16.7521,16.31669,16.02338,15.82134,0.04021456,512,369,51992
171.87838,3.1661424,19.29684,17.75425,17.03501,16.68564,16.42198,0.04002014,512,404,51992
173.61311,3.2678247,18.64679,17.43303,17.03933,16.80748,16.71635,0.04041226,513,364,51989
175.51567,2.2618389,17.85354,16.88092,16.58176,16.38317,16.30534,0.04082005,514,234,51994
175.35142,2.7132897,17.32904,15.4559,14.63717,14.24897,13.92842,0.0406733,514,392,51994
132.73661,2.3383797,18.88249,17.29242,16.55453,16.09618,15.76091,0.04023776,565,285,52225
167.52159,3.4760306,17.59492,16.053,15.21914,14.79738,14.48039,0.04004169,581,46,52356
